date,mkt,name,offer,price,shares,symbol
8/3/2018,NYSE,"ARLO TECHNOLOGIES, INC.","$163,440,000",$16,"10,215,000",ARLO
8/3/2018,NASDAQ Capital,FORUM MERGER II CORP,"$200,000,000",$10,"20,000,000",FMCIU
8/2/2018,NASDAQ Global Select,SONOS INC,"$208,333,320",$15,"13,888,888",SONO
8/2/2018,NASDAQ Capital,TOTTENHAM ACQUISITION I LTD,"$40,000,000",$10,"4,000,000",TOTAU
8/2/2018,NYSE,CUSHMAN & WAKEFIELD PLC,"$765,000,000",$17,"45,000,000",CWK
7/27/2018,NASDAQ Capital,"ADIAL PHARMACEUTICALS, INC.","$7,320,000",$5,"1,464,000",ADIL
7/27/2018,NYSE,ENDAVA LTD,"$126,800,000",$20,"6,340,000",DAVA
7/27/2018,NASDAQ Global Select,OPERA LTD,"$115,200,000",$12,"9,600,000",OPRA
7/27/2018,NASDAQ Capital,SUMMIT SEMICONDUCTOR INC.,"$12,000,000",$5,"2,400,000",WISA
7/26/2018,NASDAQ Global Select,"TENABLE HOLDINGS, INC.","$250,700,000",$23,"10,900,000",TENB
7/26/2018,NASDAQ Global Select,PINDUODUO INC.,"$1,626,400,000",$19,"85,600,000",PDD
7/26/2018,NASDAQ Global Select,FOCUS FINANCIAL PARTNERS INC.,"$535,135,161",$33,"16,216,217",FOCS
7/26/2018,NASDAQ Global,AURORA MOBILE LTD,"$77,010,000",$8.50,"9,060,000",JG
7/26/2018,NASDAQ Capital,LIQUIDIA TECHNOLOGIES INC,"$50,000,005",$11,"4,545,455",LQDA
7/26/2018,NASDAQ Global Select,BERRY PETROLEUM CORP,"$182,608,706",$14,"13,043,479",BRY
7/26/2018,NYSE,CANGO INC.,"$44,000,000",$11,"4,000,000",CANG
7/25/2018,NASDAQ Global,"AQUESTIVE THERAPEUTICS, INC.","$67,500,000",$15,"4,500,000",AQST
7/25/2018,NYSE,BLOOM ENERGY CORP,"$270,000,000",$15,"18,000,000",BE
7/25/2018,NASDAQ Capital,GREENLAND ACQUISITION CORP.,"$40,000,000",$10,"4,000,000",GLACU
7/24/2018,NASDAQ Capital,"PROVENTION BIO, INC.","$65,500,000",$4,"16,375,000",PRVB
7/20/2018,NASDAQ Global Select,"REPLIMUNE GROUP, INC.","$100,500,000",$15,"6,700,000",REPL
7/19/2018,NASDAQ Global Select,"TILRAY, INC.","$153,000,000",$17,"9,000,000",TLRY
7/19/2018,NASDAQ Global Select,FIRST WESTERN FINANCIAL INC,"$37,525,000",$19,"1,975,000",MYFW
7/19/2018,NASDAQ Capital,ESTABLISHMENT LABS HOLDINGS INC.,"$66,874,986",$18,"3,715,277",ESTA
7/19/2018,NASDAQ Global Select,CONSTELLATION PHARMACEUTICALS INC,"$60,000,000",$15,"4,000,000",CNST
7/19/2018,NASDAQ Global Select,ALLAKOS INC.,"$128,399,994",$18,"7,133,333",ALLK
7/18/2018,NASDAQ Global Select,COASTAL FINANCIAL CORP,"$41,325,000",$14.50,"2,850,000",CCB
7/18/2018,NASDAQ Global Select,"CRINETICS PHARMACEUTICALS, INC.","$102,000,000",$17,"6,000,000",CRNX
7/18/2018,NASDAQ Global Select,"RUBIUS THERAPEUTICS, INC.","$241,109,000",$23,"10,483,000",RUBY
7/3/2018,NYSE,M17 ENTERTAINMENT LTD,"$103,651,800",10.00-12.00,"7,511,000",
